u,v,key,osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,tunnel,width,access
619215623,1069377782,0,377806994,True,2,64,鬼怒通り,primary,,False,242.48200000000003,"LINESTRING (139.9410956 36.5568784, 139.9404064 36.5568175, 139.9402298 36.5568055, 139.9400582 36.5567927, 139.939876 36.5567815, 139.9397684 36.5567782, 139.9395295 36.556767, 139.939027 36.5567645, 139.9383874 36.5567677)",,,,
619215631,1002584688,0,86327996,True,3,4,石橋宇都宮バイパス,trunk,,False,419.795,"LINESTRING (139.9420097 36.561575, 139.9423825 36.5640701, 139.9424772 36.5648656, 139.9425199 36.5653275)",,,,
619215633,2899231555,0,48802816,True,3,4,石橋宇都宮バイパス,trunk,,False,184.33,"LINESTRING (139.9422204 36.5618248, 139.9419405 36.5601824)",,,,
619215633,1002584660,0,48802886,True,1,4,,trunk,,False,184.59,"LINESTRING (139.9422204 36.5618248, 139.9420234 36.5601723)",,,,
619215639,619215621,0,48802886,True,1,4,,trunk,,False,12.056,"LINESTRING (139.9415817 36.5570562, 139.9415713 36.5569481)",,,,
619215639,619215643,0,369223049,True,2,64,鬼怒通り,primary,,False,233.219,"LINESTRING (139.9415817 36.5570562, 139.9421416 36.5571553, 139.9424355 36.5572247, 139.9427146 36.5572919, 139.9430097 36.5573632, 139.9434628 36.557508, 139.9440572 36.5577076)",,,,
619215643,619215644,0,183344947,False,,,,residential,,False,12.101,"LINESTRING (139.9440572 36.5577076, 139.9440369 36.5576)",,,,
619215643,1937141965,0,183345048,False,,,,residential,,False,250.153,"LINESTRING (139.9440572 36.5577076, 139.9441422 36.5585373, 139.944222 36.559502, 139.9442521 36.5599517)",,,,
619215643,619215656,0,369223049,True,2,64,鬼怒通り,primary,,False,131.41299999999998,"LINESTRING (139.9440572 36.5577076, 139.9444147 36.5578465, 139.9447346 36.5579784, 139.9450357 36.5581203, 139.9453401 36.5582828)",,,,
619215644,3719830395,0,183344947,False,,,,residential,,False,51.245,"LINESTRING (139.9440369 36.5576, 139.9439945 36.5571404)",,,,
619215644,619215643,0,183344947,False,,,,residential,,True,12.101,"LINESTRING (139.9440369 36.5576, 139.9440572 36.5577076)",,,,
619215644,1937141858,0,377806994,True,2,64,鬼怒通り,primary,,False,178.757,"LINESTRING (139.9440369 36.5576, 139.9435095 36.5574164, 139.9430627 36.5572788, 139.9427603 36.5572003, 139.9424602 36.557132, 139.9421539 36.5570624)",,,,
619215656,619215657,0,456142900,False,2,158,辰街道,secondary,,False,10.275,"LINESTRING (139.9453401 36.5582828, 139.9453385 36.5581904)",,,,
619215656,619215662,0,48802898,False,2,158,辰街道,secondary,,True,159.33700000000002,"LINESTRING (139.9453401 36.5582828, 139.9453523 36.5585188, 139.9453629 36.5586474, 139.9453746 36.5587542, 139.9453913 36.5588632, 139.9454092 36.558962, 139.9454516 36.5591728, 139.9455711 36.5597016)",,,,
619215657,1162984720,0,386847661,False,2,158,辰街道,secondary,,False,77.077,"LINESTRING (139.9453385 36.5581904, 139.945326 36.5574973)",,,,
619215657,619215656,0,456142900,False,2,158,辰街道,secondary,,True,10.275,"LINESTRING (139.9453385 36.5581904, 139.9453401 36.5582828)",,,,
